number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
G1615,G, to complete fully,from G1537 (ἐκ) and G5055 (τελέω);,ekteléō,ἐκτελέω,finish,,
G2274,G," to make worse, i.e. vanquish (literally or figuratively); by implication, to rate lower",from the same as G2276 (ἥττον);,hēttáō,ἡττάω,"be inferior, overcome",,
G4533,G," Salmon, an Israelite",of Hebrew origin (H08012);,Salmṓn,Σαλμών,Salmon,,
G5073,G, quadruple,from G5064 (τέσσαρες) and a derivative of the base of G4118 (πλεῖστος);,tetraplóos,τετραπλόος,fourfold,,
G3892,G, transgression,from the same as G3891 (παρανομέω);,paranomía,παρανομία,iniquity,,
G2928,G," to conceal (properly, by covering)",a primary verb;,krýptō,κρύπτω,"hide (self), keep secret, secret(-ly)",,
G1966,G," supervening, i.e. (G2250 (ἡμέρα) or G3571 (νύξ) being expressed or implied) the ensuing day or night",feminine singular participle of a comparative of G1909 (ἐπί) and (to go);,epioûsa,ἐπιοῦσα,"following, next",,
G1716,G, to spit at or on,from G1722 (ἐν) and G4429 (πτύω);,emptýō,ἐμπτύω,spit (upon),,
G4641,G," hard-heartedness, i.e. (specially), destitution of (spiritual) perception",feminine of a compound of G4642 (σκληρός) and G2588 (καρδία);,sklērokardía,σκληροκαρδία,hardness of heart,,
G506,G," unsubdued, i.e. insubordinate (in fact or temper)",from G1 (Α) (as a negative particle) and a presumed derivative of G5293 (ὑποτάσσω);,anypótaktos,ἀνυπότακτος,"disobedient, that is not put under, unruly",,
G4181,G," in many portions, i.e. variously as to time and agency (piecemeal)",adverb from a compound of G4183 (πολύς) and G3313 (μέρος);,polymerōs,πολυμερῶς,at sundry times,,
G2577,G," properly, to toil, i.e. (by implication) to tire (figuratively, faint, sicken)",apparently a primary verb;,kámnō,κάμνω,"faint, sick, be wearied",,
G3634,G," such or what sort of (as a correlation or exclamation); especially the neuter (adverbially) with negative, not so","probably akin to G3588 (ὁ), G3739 (ὅς), and G3745 (ὅσος);",hoîos,οἷος,"so (as), such as, what (manner of), which",,
G605,G, reconstitution,from G600 (ἀποκαθίστημι);,apokatástasis,ἀποκατάστασις,restitution,,
G5125,G," to (for, in, with or by) these (persons or things)",dative case plural masculine or neuter of G3778 (οὗτος);,toútois,τούτοις,"such, them, there(-in, -with), these, this, those",,
G2258,G," I (thou, etc.) was (wast or were)",imperfect of G1510 (εἰμί);,ēn,ἦν,"+ agree, be, X have (+ charge of), hold, use, was(-t), were",,
G2704,G," to spoil entirely, i.e. (literally) to destroy; or (figuratively) to deprave; ",from G2596 (κατά) and G5351 (φθείρω);,kataphtheírō,καταφθείρω,"--corrupt, utterly perish",,
G424,G, to ascend,from G303 (ἀνά) and G2064 (ἔρχομαι);,anérchomai,ἀνέρχομαι,go up,,
G5309,G," to be lofty in mind, i.e. arrogant",from a compound of G5308 (ὑψηλός) and G5424 (φρήν);,hypsēlophronéō,ὑψηλοφρονέω,be highminded,,
G1484,G," a race (as of the same habit), i.e. a tribe; specially, a foreign (non-Jewish) one (usually, by implication, pagan)",probably from G1486 (ἔθω);,éthnos,ἔθνος,"Gentile, heathen, nation, people",,
G2256,G, a half-hour,from the base of G2255 (ἥμισυ) and G5610 (ὥρα);,hēmiṓrion,ἡμιώριον,half an hour,,
G3691,G," keen; by analogy, rapid","probably akin to the base of G188 (ἀκμήν) (""acid"");",oxýs,ὀξύς,"sharp, swift",,
G908,G, baptism (technically or figuratively),from G907 (βαπτίζω);,báptisma,βάπτισμα,baptism,,
G1604,G, completion,from G1603 (ἐκπληρόω);,ekplḗrōsis,ἐκπλήρωσις,accomplishment,,
G2594,G," to be strong, i.e. (figuratively) steadfast (patient)",from a derivative of G2904 (κράτος) (transposed);,karteréō,καρτερέω,endure,,
G13,G," Agabus, an Israelite",of Hebrew origin (compare H02285);,Ágabos,Ἄγαβος,Agabus,,
G2660,G," to pierce thoroughly, i.e. (figuratively) to agitate violently (""sting to the quick"")",from G2596 (κατά) and G3572 (νύσσω);,katanýssō,κατανύσσω,prick,,
G5508,G," Chios, an island in the Mediterranean",of uncertain derivation;,Chíos,Χίος,Chios,,
